Hotel name,Prices,Rating counts,Total Rating,Address,Distance from center,Hotel-link
winterfell treehouse jibhi,3420,0.0,0.0,Jibhi,1.9 km ,https://www.booking.com/hotel/in/the-casa-alpino-cottages.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1102927101_383059879_1_2_0&highlighted_blocks=1102927101_383059879_1_2_0&matching_block_id=1102927101_383059879_1_2_0&sr_pri_blocks=1102927101_383059879_1_2_0__342000&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Hidab Homes,2303,9.7,12.0,Jibhi,4.3 km ,https://www.booking.com/hotel/in/hidab-homes.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=842920501_390179461_1_41_0&highlighted_blocks=842920501_390179461_1_41_0&matching_block_id=842920501_390179461_1_41_0&sr_pri_blocks=842920501_390179461_1_41_0__230328&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Rio Paradise Jibhi,1800,0.0,0.0,Jibhi,0.6 km ,https://www.booking.com/hotel/in/rio-paradise-jibhi-jibhi1.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=692857801_285293930_1_42_0&highlighted_blocks=692857801_285293930_1_42_0&matching_block_id=692857801_285293930_1_42_0&sr_pri_blocks=692857801_285293930_1_42_0__180000&dcs_click=1&from=searchresults#hotelTmpl
Sunlight Tree House and Cottage,4550,0.0,0.0,Jibhi,1.2 km ,https://www.booking.com/hotel/in/sunlight-tree-house-and-cottage.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1181395001_390578045_1_42_0&highlighted_blocks=1181395001_390578045_1_42_0&matching_block_id=1181395001_390578045_1_42_0&sr_pri_blocks=1181395001_390578045_1_42_0__455000&dcs_click=1&from=searchresults#hotelTmpl
Himalayan Chalets Jibhi,7000,0.0,0.0,Jibhi,In the city center,https://www.booking.com/hotel/in/himalayan-chalets-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1138780101_386590880_2_1_0&highlighted_blocks=1138780101_386590880_2_1_0&matching_block_id=1138780101_386590880_2_1_0&sr_pri_blocks=1138780101_386590880_2_1_0__700000&dcs_click=1&from=searchresults#hotelTmpl
Divine Treehouse Jibhi,3520,0.0,0.0,Jibhi,3 km ,https://www.booking.com/hotel/in/divine-treehouse-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1181300801_390567403_1_2_0&highlighted_blocks=1181300801_390567403_1_2_0&matching_block_id=1181300801_390567403_1_2_0&sr_pri_blocks=1181300801_390567403_1_2_0__352000&dcs_click=1&from=searchresults#hotelTmpl
Lovely AFrame I RiversideI 250M Steep TrekI,2800,10.0,2.0,Jibhi,1.4 km ,https://www.booking.com/hotel/in/lovely-aframe-i-riversidei-250m-steep-treki.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1104111801_383231175_2_0_0&highlighted_blocks=1104111801_383231175_2_0_0&matching_block_id=1104111801_383231175_2_0_0&sr_pri_blocks=1104111801_383231175_2_0_0__280000&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Marigold Paradise,2708,0.0,0.0,Jibhi,350 m ,https://www.booking.com/hotel/in/marigold-paradise.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=998430401_372685009_1_0_0&highlighted_blocks=998430401_372685009_1_0_0&matching_block_id=998430401_372685009_1_0_0&sr_pri_blocks=998430401_372685009_1_0_0__270810&dcs_click=1&from=searchresults#hotelTmpl
Chirag Homestay,1600,0.0,0.0,Jibhi,1.9 km ,https://www.booking.com/hotel/in/chirag-homestay.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1144998201_387339243_1_0_0&highlighted_blocks=1144998201_387339243_1_0_0&matching_block_id=1144998201_387339243_1_0_0&sr_pri_blocks=1144998201_387339243_1_0_0__160000&dcs_click=1&from=searchresults#hotelTmpl
Rana Swiss cottages,2200,0.0,0.0,Jibhi,In the city center,https://www.booking.com/hotel/in/rana-swiss-cottages-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=42&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1077183704_380307224_1_2_0&highlighted_blocks=1077183704_380307224_1_2_0&matching_block_id=1077183704_380307224_1_2_0&sr_pri_blocks=1077183704_380307224_1_2_0__220000&dcs_click=1&from=searchresults#hotelTmpl
Cloudwalk Treehouse,7290,9.6,7.0,Jibhi,1 km ,https://www.booking.com/hotel/in/cloudwalk-treehouse.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=43&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=984621701_370871919_1_1_0&highlighted_blocks=984621701_370871919_1_1_0&matching_block_id=984621701_370871919_1_1_0&sr_pri_blocks=984621701_370871919_1_1_0__729000&dcs_click=1&from=searchresults#hotelTmpl
Forest View Cottage,2000,9.3,3.0,Jibhi,1.7 km ,https://www.booking.com/hotel/in/forest-view-cottage-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1132730801_385918384_1_2_0&highlighted_blocks=1132730801_385918384_1_2_0&matching_block_id=1132730801_385918384_1_2_0&sr_pri_blocks=1132730801_385918384_1_2_0__200000&dcs_click=1&from=searchresults#hotelTmpl
The Himalayan sukoon villa near jibhi,1799,8.7,3.0,Jibhi,2.9 km ,https://www.booking.com/hotel/in/the-himalayan-sukoon-villa.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=45&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=996699601_372544949_1_41_0&highlighted_blocks=996699601_372544949_1_41_0&matching_block_id=996699601_372544949_1_41_0&sr_pri_blocks=996699601_372544949_1_41_0__179910&dcs_click=1&from=searchresults#hotelTmpl
The Great Escape - A jibhi paradise,2800,6.0,2.0,Jibhi,500 m ,https://www.booking.com/hotel/in/the-grear-escape-a-jibhi-paradise.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=46&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1109860501_383724357_1_42_0&highlighted_blocks=1109860501_383724357_1_42_0&matching_block_id=1109860501_383724357_1_42_0&sr_pri_blocks=1109860501_383724357_1_42_0__280000&dcs_click=1&from=searchresults#hotelTmpl
The Martens,1920,10.0,1.0,Jibhi,1.5 km ,https://www.booking.com/hotel/in/the-martens.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=47&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1140638201_387894840_1_2_0&highlighted_blocks=1140638201_387894840_1_2_0&matching_block_id=1140638201_387894840_1_2_0&sr_pri_blocks=1140638201_387894840_1_2_0__192000&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Enchanted Tales Tandi,7000,0.0,0.0,Jibhi,1.1 km ,https://www.booking.com/hotel/in/enchanted-tales-tandi-tandi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=48&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1174732702_390198569_2_1_0&highlighted_blocks=1174732702_390198569_2_1_0&matching_block_id=1174732702_390198569_2_1_0&sr_pri_blocks=1174732702_390198569_2_1_0__700000&dcs_click=1&from=searchresults#hotelTmpl
Mystic Vibes - Jibhi,2799,8.8,13.0,Jibhi,1.8 km ,https://www.booking.com/hotel/in/mystic-vibes.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=49&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=842394701_351002343_0_42_0&highlighted_blocks=842394701_351002343_0_42_0&matching_block_id=842394701_351002343_0_42_0&sr_pri_blocks=842394701_351002343_0_42_0__279900&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
The Pahadi Earthen home JIBHI,2525,0.0,4.0,Jibhi,2.2 km ,https://www.booking.com/hotel/in/the-pahadi-earthen-home-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240812&all_sr_blocks=1152681601_388254000_2_0_0&highlighted_blocks=1152681601_388254000_2_0_0&matching_block_id=1152681601_388254000_2_0_0&sr_pri_blocks=1152681601_388254000_2_0_0__252450&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
S star homestay,2520,0.0,0.0,Jibhi,350 m ,https://www.booking.com/hotel/in/s-star-homestay.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=51&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1126396201_385293712_1_1_0&highlighted_blocks=1126396201_385293712_1_1_0&matching_block_id=1126396201_385293712_1_1_0&sr_pri_blocks=1126396201_385293712_1_1_0__252000&dcs_click=1&from=searchresults#hotelTmpl
Himalayan chalet jibhi,5850,0.0,0.0,Jibhi,1.3 km ,https://www.booking.com/hotel/in/himalayan-chalet-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=52&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1137787801_386501665_1_2_0&highlighted_blocks=1137787801_386501665_1_2_0&matching_block_id=1137787801_386501665_1_2_0&sr_pri_blocks=1137787801_386501665_1_2_0__585000&dcs_click=1&from=searchresults#hotelTmpl
HIMALAYAN OUTSKRIT COTTAGES,2700,10.0,1.0,Jibhi,0.9 km ,https://www.booking.com/hotel/in/himalayan-outskrit-cottages.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=53&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1040674201_376511679_1_0_0&highlighted_blocks=1040674201_376511679_1_0_0&matching_block_id=1040674201_376511679_1_0_0&sr_pri_blocks=1040674201_376511679_1_0_0__270000&dcs_click=1&from=searchresults#hotelTmpl
The Little Nest,3944,10.0,1.0,Jibhi,1 km ,https://www.booking.com/hotel/in/the-little-nest-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=54&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1144457501_387287657_1_1_0&highlighted_blocks=1144457501_387287657_1_1_0&matching_block_id=1144457501_387287657_1_1_0&sr_pri_blocks=1144457501_387287657_1_1_0__394400&dcs_click=1&from=searchresults#hotelTmpl
Nebula Nook TreeHouse,4050,0.0,0.0,Jibhi,1.1 km ,https://www.booking.com/hotel/in/nebula-nook-treehouse.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=55&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1099135901_382777187_2_1_0&highlighted_blocks=1099135901_382777187_2_1_0&matching_block_id=1099135901_382777187_2_1_0&sr_pri_blocks=1099135901_382777187_2_1_0__405000&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Dreamscape Treehouse & Cottages,7650,8.0,1.0,Jibhi,0.9 km ,https://www.booking.com/hotel/in/dreamscape-treehouse-amp-cottages.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=56&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1119778901_384792142_1_2_0&highlighted_blocks=1119778901_384792142_1_2_0&matching_block_id=1119778901_384792142_1_2_0&sr_pri_blocks=1119778901_384792142_1_2_0__765000&dcs_click=1&from=searchresults#hotelTmpl
Natur3Rich,8500,0.0,0.0,Jibhi,1.5 km ,https://www.booking.com/hotel/in/natur3rich.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=57&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1133772201_386030546_0_1_0&highlighted_blocks=1133772201_386030546_0_1_0&matching_block_id=1133772201_386030546_0_1_0&sr_pri_blocks=1133772201_386030546_0_1_0__850000&dcs_click=1&from=searchresults#hotelTmpl
Swarg Homestay,3506,0.0,0.0,Jibhi,1.7 km ,https://www.booking.com/hotel/in/swarg-homestay.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=58&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=921097901_379169344_2_2_0&highlighted_blocks=921097901_379169344_2_2_0&matching_block_id=921097901_379169344_2_2_0&sr_pri_blocks=921097901_379169344_2_2_0__350625&dcs_click=1&from=searchresults#hotelTmpl
"The Acoustic cabins, Riverside Main jibhi.",3599,1.0,1.0,Jibhi,0.7 km ,https://www.booking.com/hotel/in/the-acoustic-cabins-riverside-main-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=59&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1038421901_376340202_1_0_0&highlighted_blocks=1038421901_376340202_1_0_0&matching_block_id=1038421901_376340202_1_0_0&sr_pri_blocks=1038421901_376340202_1_0_0__359910&dcs_click=1&from=searchresults#hotelTmpl
LivingStone Cottage in Jibhi,3572,10.0,3.0,Jibhi,350 m ,https://www.booking.com/hotel/in/livingstone-cottage-in-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=60&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=737667302_334775602_2_0_0&highlighted_blocks=737667302_334775602_2_0_0&matching_block_id=737667302_334775602_2_0_0&sr_pri_blocks=737667302_334775602_2_0_0__357200&dcs_click=1&from=searchresults#hotelTmpl
Offbeat by anavrin,4977,0.0,0.0,Jibhi,1.1 km ,https://www.booking.com/hotel/in/rustic-treehouse-in-da-mountains.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=61&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1140471601_386912202_1_2_0&highlighted_blocks=1140471601_386912202_1_2_0&matching_block_id=1140471601_386912202_1_2_0&sr_pri_blocks=1140471601_386912202_1_2_0__497728&dcs_click=1&from=searchresults#hotelTmpl
Dream wood cottage jibhi,2400,0.0,0.0,Jibhi,2.6 km ,https://www.booking.com/hotel/in/dream-wood-cottage-jibhi-biinnii.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=62&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1136283701_386257274_1_0_0&highlighted_blocks=1136283701_386257274_1_0_0&matching_block_id=1136283701_386257274_1_0_0&sr_pri_blocks=1136283701_386257274_1_0_0__240000&dcs_click=1&from=searchresults#hotelTmpl
"BASERA COTTAGE,MAIN JIBHI",2699,1.0,1.0,Jibhi,0.9 km ,https://www.booking.com/hotel/in/basera-cottage-main-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=63&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1060719201_378382126_1_0_0&highlighted_blocks=1060719201_378382126_1_0_0&matching_block_id=1060719201_378382126_1_0_0&sr_pri_blocks=1060719201_378382126_1_0_0__269910&dcs_click=1&from=searchresults#hotelTmpl
"Moksha luxurious,Jibhi",10800,0.0,0.0,Jibhi,1.8 km ,https://www.booking.com/hotel/in/moksha-luxurious-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=64&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1160443701_388743388_1_1_0&highlighted_blocks=1160443701_388743388_1_1_0&matching_block_id=1160443701_388743388_1_1_0&sr_pri_blocks=1160443701_388743388_1_1_0__1080000&dcs_click=1&from=searchresults#hotelTmpl
The Woods - Cottage,3072,0.0,0.0,Jibhi,1.8 km ,https://www.booking.com/hotel/in/the-woods-cottage-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=65&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1135647401_386206547_1_2_0&highlighted_blocks=1135647401_386206547_1_2_0&matching_block_id=1135647401_386206547_1_2_0&sr_pri_blocks=1135647401_386206547_1_2_0__307200&dcs_click=1&from=searchresults#hotelTmpl
The Chapters Cottage Tandi Jibhi,6999,0.0,0.0,Jibhi,1.4 km ,https://www.booking.com/hotel/in/the-chapters-cottage-tandi-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=66&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240815&all_sr_blocks=1134212701_388013014_4_42_0&highlighted_blocks=1134212701_388013014_4_42_0&matching_block_id=1134212701_388013014_4_42_0&sr_pri_blocks=1134212701_388013014_4_42_0__699900&dcs_click=1&from=searchresults#hotelTmpl
